"Reference ID","Product Name","Sale  Price","POS Category","Internal Category"
6597400113569,"VanE TUN OIL 3.5",2.5,"Grocery","Grocery"
7401001716175,"CAFE INCASA 3.5z",5.19,"Grocery","Grocery"
7406189005486,"DF PINA 3/6.76oz",1.39,"Grocery","Grocery"
7411000343296,"N PASTA TOMTE 8z",1.79,"Grocery","Grocery"
7411000343401,"N RANCHERA 8oz",1.79,"Grocery","Grocery"
7411000343449,"N SOFRITO CRI 8z",1.79,"Grocery","Grocery"
7412603000357,"MT PANELA 26oz",3.19,"Grocery","Grocery"
7460199560045,"EL COCINERO S  ",2.49,"Grocery","Grocery"
7622300060831,"TANG MNDRNA 810g",7.99,"Grocery","Grocery"
7622300207021,"TANG LIMON 810g",7.99,"Grocery","Grocery"
7622300207052,"TANG MRCUYA 810g",7.99,"Grocery","Grocery"
7702024058076,"AMR S/LIMON 175g",1.99,"Grocery","Grocery"
7702032253869,"COLCFE 3en1 13.4",6.49,"Grocery","Grocery"
7702047001769,"FRUCO SALSA C 5z",2.69,"Grocery","Grocery"
7702560030512,"TRRTO ROJO 11.6z",6.49,"Grocery","Grocery"
7702993602508,"FS BARRILTS 14.1",2.59,"Grocery","Grocery"
7707061741325,"BOCADILLO G 9.87",3.19,"Grocery","Grocery"
7751227000467,"DC MOROCHO 14oz",1.89,"Grocery","Grocery"
7751227000672,"DCAMP PLATAN 14z",1.89,"Grocery","Grocery"
7751227000689,"D ARRZ CBADA 14z",1.39,"Grocery","Grocery"
7751227000719,"DC LENTEJAS 14oz",1.39,"Grocery","Grocery"
7751227001426,"BSFOOD ATUN 5.6z",2.49,"Grocery","Grocery"
7751271002547,"GLORIA P 6/200ml",2.99,"Grocery","Grocery"
7751271011198,"PF EVAPORADA 12z",1.49,"Grocery","Grocery"
7751271635240,"GLORIA N 3/200ml",2.99,"Grocery","Grocery"
7751271635288,"GLORIA M 3/200ml",2.99,"Grocery","Grocery"
7751474000012,"DCAMP ACHIOT 14Z",2.99,"Grocery","Grocery"
7751474000043,"DCAMP ALVRJA 14z",1.79,"Grocery","Grocery"
7751474000098,"FRJOL CANRIO 54z",9.99,"Grocery","Grocery"
7751474000111,"DC LENTEJON 54z",6.49,"Grocery","Grocery"
7751474000128,"DC MZ CUZCO 54oz",8.49,"Grocery","Grocery"
7751474000135,"DC M MONTAÑA 54z",7.99,"Grocery","Grocery"
7751474000142,"DC M CARHUAY 54z",7.49,"Grocery","Grocery"
7751474000159,"DC MOTE PLDO 54z",7.99,"Grocery","Grocery"
7752407001694,"COGRN ELBW M 16z",0.99,"Grocery","Grocery"
7752407001700,"COGRN PENN R 16z",0.99,"Grocery","Grocery"
7752407001717,"COGRN ZITI 16oz",0.99,"Grocery","Grocery"
7790580504007,"MEMBRILLO 24.7oz",7.69,"Grocery","Grocery"
7861000133920,"ET",4.99,"Grocery","Grocery"
7861000144087,"LS HORCHATA 32g",1.99,"Grocery","Grocery"
7861001217230,"NS RICACAO 15.5z",3.99,"Grocery","Grocery"
7861004911241,"SALTICAS 210g",1.29,"Grocery","Grocery"
7861004920595,"AMCY ILUSN 14.1z",1.59,"Grocery","Grocery"
7861005600045,"T HIERBABUENA 8Z",2.49,"Grocery","Grocery"
7861005600052,"FF TROJL/VAL 8z ",2.99,"Grocery","Grocery"
7861005600229,"MANZNLL/MIEL .63",3.29,"Grocery","Grocery"
7861005620128,"FF TE CEDRON 8z",1.99,"Grocery","Grocery"
7861005620135,"FF TE ANIS 8Z",2.29,"Grocery","Grocery"
7861005620142,"FF TE MENTA 8oz",2.39,"Grocery","Grocery"
7861007900020,"ORIENTAL S 9.17z",1.99,"Grocery","Grocery"
7861007900082,"ORIENTAL S 19.3z",1.99,"Grocery","Grocery"
7861007902024,"ORIENTAL P 100ml",1.19,"Grocery","Grocery"
7861007906589,"FIDEO CHIN 7.5z",1.79,"Grocery","Grocery"
7861008900036,"LP LEVADURA 175g",3.69,"Grocery","Grocery"
7861008910059,"PLVO P HRNR 4.2z",2.59,"Grocery","Grocery"
7861011902263,"DLCE PCHICHE 21z",4.69,"Grocery","Grocery"
7861011902584,"DLC HIGOS 21.18z",4.49,"Grocery","Grocery"
7861011903949,"NARANJILLA 21oz",4.79,"Grocery","Grocery"
7861021200014,"SABORA (BOLSA)",1.99,"Grocery","Grocery"
7861021200021,"COMINO M (BOLSA)",1.99,"Grocery","Grocery"
7861021200410,"SABORA 1.76oz",0.79,"Grocery","Grocery"
7861021200427,"COMINO MD 1.76oz",0.89,"Grocery","Grocery"
7861021200472,"AJI SECO 1.76oz",0.79,"Grocery","Grocery"
7861021201158,"ALIÑ CMPLET 35.3",4.99,"Grocery","Grocery"
7861021206009,"CHIMICHURRI 19.4",2.49,"Grocery","Grocery"
7861021206054,"ALINO CPLT 17.6z",3.49,"Grocery","Grocery"
7861021208133,"MANZANILLA 1.3oz",2.5,"Grocery","Grocery"
7861024300179,"CF CUBANIT 14.1z",8.99,"Grocery","Grocery"
7861025300376,"TPKINUA FS 14.1z",3.29,"Grocery","Grocery"
7861025522242,"HRNA/TRIGO YA 1k",4.49,"Grocery","Grocery"
7861025522303,"HRIN/TRIGO YA ½k",2.49,"Grocery","Grocery"
7861029300006,"MAIZABROSA 1000g",3.99,"Grocery","Grocery"
